StatisticsDate,TargetDiseaseCode,TargetDisease,LocationCountry,LocationCountryEHAK,LocationCounty,LocationCountyEHAK,LocationLevel,MeasurementType,LocationPopulation,DailyCount,TotalCount,PopulationCoverage
2020-12-27,219,COVID-19,Eesti,233,,,County,DosesAdministered,2157,0,0,
2020-12-27,219,COVID-19,Eesti,233,,,County,FullyVaccinated,2157,0,0,0
2020-12-27,219,COVID-19,Eesti,233,,,County,Vaccinated,2157,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Harju maakond",0037,County,DosesAdministered,605029,85,85,
2020-12-27,219,COVID-19,Eesti,233,"Harju maakond",0037,County,FullyVaccinated,605029,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Harju maakond",0037,County,Vaccinated,605029,85,85,0.01
2020-12-27,219,COVID-19,Eesti,233,"Hiiu maakond",0039,County,DosesAdministered,9315,0,0,
2020-12-27,219,COVID-19,Eesti,233,"Hiiu maakond",0039,County,FullyVaccinated,9315,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Hiiu maakond",0039,County,Vaccinated,9315,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Ida-Viru maakond",0045,County,DosesAdministered,134259,49,49,
2020-12-27,219,COVID-19,Eesti,233,"Ida-Viru maakond",0045,County,FullyVaccinated,134259,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Ida-Viru maakond",0045,County,Vaccinated,134259,49,49,0.04
2020-12-27,219,COVID-19,Eesti,233,"Järva maakond",0052,County,DosesAdministered,30174,0,0,
2020-12-27,219,COVID-19,Eesti,233,"Järva maakond",0052,County,FullyVaccinated,30174,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Järva maakond",0052,County,Vaccinated,30174,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Jõgeva maakond",0050,County,DosesAdministered,28442,4,4,
2020-12-27,219,COVID-19,Eesti,233,"Jõgeva maakond",0050,County,FullyVaccinated,28442,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Jõgeva maakond",0050,County,Vaccinated,28442,4,4,0.01
2020-12-27,219,COVID-19,Eesti,233,"Lääne maakond",0056,County,DosesAdministered,20444,1,1,
2020-12-27,219,COVID-19,Eesti,233,"Lääne maakond",0056,County,FullyVaccinated,20444,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Lääne maakond",0056,County,Vaccinated,20444,1,1,0
2020-12-27,219,COVID-19,Eesti,233,"Lääne-Viru maakond",0060,County,DosesAdministered,58862,1,1,
2020-12-27,219,COVID-19,Eesti,233,"Lääne-Viru maakond",0060,County,FullyVaccinated,58862,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Lääne-Viru maakond",0060,County,Vaccinated,58862,1,1,0
2020-12-27,219,COVID-19,Eesti,233,"Pärnu maakond",0068,County,DosesAdministered,86185,2,2,
2020-12-27,219,COVID-19,Eesti,233,"Pärnu maakond",0068,County,FullyVaccinated,86185,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Pärnu maakond",0068,County,Vaccinated,86185,2,2,0
2020-12-27,219,COVID-19,Eesti,233,"Põlva maakond",0064,County,DosesAdministered,24647,4,4,
2020-12-27,219,COVID-19,Eesti,233,"Põlva maakond",0064,County,FullyVaccinated,24647,0,0,0
2020-12-27,219,COVID-19,Eesti,233,"Põlva maakond",0064,County,Vaccinated,24647,4,4,0.02
2020-12-27,219,COVID-19,Eesti,233,"Rapla maakond",0071,County,DosesAdministered,33282,1,1,
2020-12-27,219,COVID-19,Eesti,233,"Rapla maakond",0071,County,FullyVaccinated,33282,0,0,0
