StatisticsDate,TargetDiseaseCode,TargetDisease,MeasurementType,DailyCount,TotalCount,PopulationCoverage
2020-12-27,219,COVID-19,DosesAdministered,191,191,
2020-12-27,219,COVID-19,FullyVaccinated,0,0,0
2020-12-27,219,COVID-19,Vaccinated,191,191,0.01
2020-12-28,219,COVID-19,DosesAdministered,318,509,
2020-12-28,219,COVID-19,FullyVaccinated,1,1,0
2020-12-28,219,COVID-19,Vaccinated,318,509,0.04
2020-12-29,219,COVID-19,DosesAdministered,367,876,
2020-12-29,219,COVID-19,FullyVaccinated,1,2,0
2020-12-29,219,COVID-19,Vaccinated,367,876,0.07
2020-12-30,219,COVID-19,DosesAdministered,1013,1889,
2020-12-30,219,COVID-19,FullyVaccinated,1,3,0
2020-12-30,219,COVID-19,Vaccinated,1013,1889,0.14
2020-12-31,219,COVID-19,DosesAdministered,586,2475,
2020-12-31,219,COVID-19,FullyVaccinated,0,3,0
2020-12-31,219,COVID-19,Vaccinated,586,2475,0.19
2021-01-01,219,COVID-19,DosesAdministered,0,2475,
2021-01-01,219,COVID-19,FullyVaccinated,0,3,0
2021-01-01,219,COVID-19,Vaccinated,0,2475,0.19
2021-01-02,219,COVID-19,DosesAdministered,30,2505,
2021-01-02,219,COVID-19,FullyVaccinated,0,3,0
2021-01-02,219,COVID-19,Vaccinated,30,2505,0.19
2021-01-03,219,COVID-19,DosesAdministered,18,2523,
2021-01-03,219,COVID-19,FullyVaccinated,0,3,0
2021-01-03,219,COVID-19,Vaccinated,18,2523,0.19
2021-01-04,219,COVID-19,DosesAdministered,642,3165,
2021-01-04,219,COVID-19,FullyVaccinated,0,3,0
2021-01-04,219,COVID-19,Vaccinated,642,3165,0.24
2021-01-05,219,COVID-19,DosesAdministered,1812,4977,
2021-01-05,219,COVID-19,FullyVaccinated,6,9,0
2021-01-05,219,COVID-19,Vaccinated,1810,4975,0.37
2021-01-06,219,COVID-19,DosesAdministered,1612,6589,
2021-01-06,219,COVID-19,FullyVaccinated,1,10,0
2021-01-06,219,COVID-19,Vaccinated,1611,6586,0.5
2021-01-07,219,COVID-19,DosesAdministered,1342,7931,
2021-01-07,219,COVID-19,FullyVaccinated,1,11,0
2021-01-07,219,COVID-19,Vaccinated,1342,7928,0.6
2021-01-08,219,COVID-19,DosesAdministered,2215,10146,
2021-01-08,219,COVID-19,FullyVaccinated,2,13,0
2021-01-08,219,COVID-19,Vaccinated,2215,10143,0.76
2021-01-09,219,COVID-19,DosesAdministered,551,10697,
2021-01-09,219,COVID-19,FullyVaccinated,0,13,0
2021-01-09,219,COVID-19,Vaccinated,551,10694,0.8
2021-01-10,219,COVID-19,DosesAdministered,223,10920,
2021-01-10,219,COVID-19,FullyVaccinated,0,13,0
2021-01-10,219,COVID-19,Vaccinated,223,10917,0.82
2021-01-11,219,COVID-19,DosesAdministered,849,11769,
2021-01-11,219,COVID-19,FullyVaccinated,0,13,0
2021-01-11,219,COVID-19,Vaccinated,849,11766,0.88
2021-01-12,219,COVID-19,DosesAdministered,1580,13349,
2021-01-12,219,COVID-19,FullyVaccinated,2,15,0
2021-01-12,219,COVID-19,Vaccinated,1580,13346,1
2021-01-13,219,COVID-19,DosesAdministered,1395,14744,
2021-01-13,219,COVID-19,FullyVaccinated,3,18,0
2021-01-13,219,COVID-19,Vaccinated,1395,14741,1.11
2021-01-14,219,COVID-19,DosesAdministered,1780,16524,
2021-01-14,219,COVID-19,FullyVaccinated,6,24,0
2021-01-14,219,COVID-19,Vaccinated,1780,16521,1.24
2021-01-15,219,COVID-19,DosesAdministered,1281,17805,
2021-01-15,219,COVID-19,FullyVaccinated,9,33,0
2021-01-15,219,COVID-19,Vaccinated,1281,17802,1.34
2021-01-16,219,COVID-19,DosesAdministered,220,18025,
2021-01-16,219,COVID-19,FullyVaccinated,2,35,0
2021-01-16,219,COVID-19,Vaccinated,220,18022,1.35
2021-01-17,219,COVID-19,DosesAdministered,96,18121,
2021-01-17,219,COVID-19,FullyVaccinated,66,101,0.01
2021-01-17,219,COVID-19,Vaccinated,30,18052,1.36
2021-01-18,219,COVID-19,DosesAdministered,1034,19155,
2021-01-18,219,COVID-19,FullyVaccinated,376,477,0.04
2021-01-18,219,COVID-19,Vaccinated,659,18711,1.41
2021-01-19,219,COVID-19,DosesAdministered,1161,20316,
2021-01-19,219,COVID-19,FullyVaccinated,407,884,0.07
2021-01-19,219,COVID-19,Vaccinated,758,19469,1.46
2021-01-20,219,COVID-19,DosesAdministered,1482,21798,
2021-01-20,219,COVID-19,FullyVaccinated,634,1518,0.11
2021-01-20,219,COVID-19,Vaccinated,852,20321,1.53
